PX_CD,PX_HSDW_SHORT_DESC,PX_HSDW_LONG_DESC
12.34,lysis of corneovitreal adhesions,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; iridoplasty and coreoplasty; lysis of corneovitreal adhesions"
12.35,coreoplasty,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; iridoplasty and coreoplasty; coreoplasty"
12.39,iridoplasty nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; iridoplasty and coreoplasty; other iridoplasty"
12.4,iris lesion excision/destruction,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; excision or destruction of lesion of iris and ciliary body"
12.40,remove eye anter segment lesion nos,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; excision or destruction of lesion of iris and ciliary body; removal of lesion of anterior segment of eye, not otherwise specified"
12.41,non-excise destruct iris lesion,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; excision or destruction of lesion of iris and ciliary body; destruction of lesion of iris, nonexcisional"
12.42,iris lesion excision,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; excision or destruction of lesion of iris and ciliary body; excision of lesion of iris"
12.43,non-excise destruc ciliary body les,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; excision or destruction of lesion of iris and ciliary body; destruction of lesion of ciliary body, nonexcisional"
12.44,ciliary body lesion excision,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; excision or destruction of lesion of iris and ciliary body; excision of lesion of ciliary body"
12.5,facilitate intraocular circulation,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; facilitation of intraocular circulation"
12.51,goniopuncture,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; facilitation of intraocular circulation; goniopuncture without goniotomy"
12.52,goniotomy,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; facilitation of intraocular circulation; goniotomy without goniopuncture"
12.53,goniotomy w/goniopuncture,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; facilitation of intraocular circulation; goniotomy with goniopuncture"
12.54,trabeculotomy ab externo,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; facilitation of intraocular circulation; trabeculotomy ab externo"
12.55,cyclodialysis,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; facilitation of intraocular circulation; cyclodialysis"
12.59,facilitate intraocular circul nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; facilitation of intraocular circulation; other facilitation of intraocular circulation"
12.6,scleral fistulization,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; scleral fistulization"
12.61,trephination of sclera w/iridectomy,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; scleral fistulization; trephination of sclera with iridectomy"
12.62,sclera thermocauterize w/iridectomy,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; scleral fistulization; thermocauterization of sclera with iridectomy"
12.63,lridencleisis/iridotasis,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; scleral fistulization; lridencleisis and iridotasis"
12.64,trabeculectomy ab externo,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; scleral fistulization; trabeculectomy ab externo"
12.65,scleral fistulization w/iridectomy,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; scleral fistulization; other scleral fistulization with iridectomy"
12.66,scleral fistulization postop revis,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; scleral fistulization; postoperative revision of scleral fistulization procedure"
12.69,scleral fistulizing procedure nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; scleral fistulization; other fistulizing procedure"
12.7,intraocular pressure relief,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other procedures for relief of elevated intraocular pressure"
12.71,cyclodiathermy,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other procedures for relief of elevated intraocular pressure; cyclodiathermy"
12.72,cyclocryotherapy,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other procedures for relief of elevated intraocular pressure; cyclocryotherapy"
12.73,cyclophotocoagulation,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other procedures for relief of elevated intraocular pressure; cyclophotocoagulation"
12.74,ciliary body diminution nos,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other procedures for relief of elevated intraocular pressure; diminution of ciliary body, not otherwise specified"
12.79,glaucoma procedure nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other procedures for relief of elevated intraocular pressure; other glaucoma procedures"
12.8,operation on sclera,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; operations on sclera"
12.81,suture of scleral laceration,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; operations on sclera; suture of laceration of sclera"
12.82,repair of scleral fistula,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; operations on sclera; repair of scleral fistula"
12.83,revise anterior seg op wound nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; operations on sclera; revision of operative wound of anterior segment, not elsewhere classified"
12.84,scleral lesion destruction,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; operations on sclera; excision or destruction of lesion of sclera"
12.85,scleral staphyloma repair w/graft,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; operations on sclera; repair of scleral staphyloma with graft"
12.86,scleral staphyloma repair nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; operations on sclera; other repair of scleral staphyloma"
12.87,scleral reinforcement w/graft,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; operations on sclera; scleral reinforcement with graft"
12.88,scleral reinforcement nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; operations on sclera; other scleral reinforcement"
12.89,scleral operation nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; operations on sclera; other operations on sclera"
12.9,iris/ciliary body/sclera operation,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other operations on iris, ciliary body, and anterior chamber"
12.91,anterior chamber therap evacuation,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other operations on iris, ciliary body, and anterior chamber; therapeutic evacuation of anterior chamber"
12.92,anterior chamber injection,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other operations on iris, ciliary body, and anterior chamber; injection into anterior chamber"
12.93,epithelial downgrowth removal,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other operations on iris, ciliary body, and anterior chamber; removal or destruction of epithelial downgrowth from anterior chamber"
12.97,iris operation nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other operations on iris, ciliary body, and anterior chamber; other operations on iris"
12.98,ciliary body operation nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other operations on iris, ciliary body, and anterior chamber; other operations on ciliary body"
12.99,anterior chamber operation nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; other operations on iris, ciliary body, and anterior chamber; other operations on anterior chamber"
12001,repair superficial wound(s),"simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less"
12002,repair superficial wound(s),"simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm"
12004,repair superficial wound(s),"simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm"
12005,repair superficial wound(s),"simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm"
12006,repair superficial wound(s),"simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm"
12007,repair superficial wound(s),"simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); over 30.0 cm"
12011,repair superficial wound(s),"simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less"
12013,repair superficial wound(s),"simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm"
12014,repair superficial wound(s),"simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm"
12015,repair superficial wound(s),"simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm"
12016,repair superficial wound(s),"simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm"
12017,repair superficial wound(s),"simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm"
